id;category;title;prompt_text;sort_order;created_at
6f7f1aaa-e3ae-4ef5-b3e3-edaccfeed565;Foto & Visual;Headshot Profesional (LinkedIn-style);Ubah foto ini menjadi foto headshot profesional bergaya LinkedIn. Pastikan: pencahayaan merata dari depan, background blur halus atau polos, ekspresi percaya diri namun ramah, warna kulit natural, baju terlihat rapi dan profesional. Hasil akhir harus terlihat seperti foto yang diambil fotografer profesional di studio.;1;2026-02-21 02:59:30.027164+00
0e3804ee-5922-4c17-9402-dd6503a687d1;Foto & Visual;Ganti Background Warna Solid;Hapus background foto ini dan ganti dengan warna solid [tulis warnamu, misal: putih bersih / abu-abu muda / biru navy]. Pastikan tepi subjek terpotong dengan bersih tanpa artefak atau batas yang kasar. Pertahankan pencahayaan dan warna kulit subjek secara natural.;2;2026-02-21 02:59:30.027164+00
1c61586d-5902-4629-91a8-17ddd96b7b74;Foto & Visual;Background Kantor Modern;Edit foto ini agar subjek tampak berada di depan latar belakang kantor modern yang bersih — bisa berupa ruang kerja minimalis, dinding brick putih, atau jendela besar dengan cahaya alami. Blurkan background (bokeh) agar subjek tetap menjadi fokus utama. Hasilnya harus terlihat natural, bukan composite yang dipaksakan.;3;2026-02-21 02:59:30.027164+00
a1175aef-24c5-4b2b-a549-67f686008638;Foto & Visual;Upgrade Pakaian ke Formal;Edit pakaian pada foto ini agar terlihat mengenakan [pilih: jas hitam profesional / kemeja putih formal / blazer navy] yang rapi. Pertahankan wajah, pose, dan background asli. Pastikan tekstur dan lipatan pakaian terlihat natural, bukan seperti kolase.;4;2026-02-21 02:59:30.027164+00
b57a3de9-85f3-473b-8f35-848709c514d5;Foto & Visual;Background Gradient Elegan;Hapus background foto ini dan ganti dengan gradient elegan: [pilih kombinasi warna, misal: biru tua ke biru muda / putih ke abu-abu / hitam ke abu-abu tua]. Buat gradient mengalir dari sudut atas ke bawah. Pastikan lighting pada wajah konsisten dengan background baru.;5;2026-02-21 02:59:30.027164+00
4b4b7c57-9a80-458d-a863-d80c1027d3f5;Foto & Visual;Foto Corporate untuk Website;"Transform foto ini menjadi foto profil bergaya corporate yang cocok untuk website perusahaan atau halaman ""Tim Kami"". Gaya: formal, bersih, profesional. Background: warna solid atau gradient perusahaan. Pencahayaan: studio lighting yang merata. Ekspresi: profesional dan approachable.";6;2026-02-21 02:59:30.027164+00
007a4c8d-220b-4489-9bc7-53c109e000e3;Foto & Visual;Perbaikan Pencahayaan Profesional;Edit foto ini dengan koreksi pencahayaan profesional: hilangkan bayangan di wajah, ratakan eksposur, tambahkan soft fill light dari sisi, dan tingkatkan ketajaman mata agar lebih hidup. Pertahankan warna kulit natural — jangan terlalu terang atau putih. Hasil akhir harus tampak seperti foto diambil dengan lighting profesional.;7;2026-02-21 02:59:30.027164+00
da417170-b37c-4a91-8d29-9c73086e46c3;Foto & Visual;Variasi Foto untuk Multi-Platform;"Berdasarkan foto ini, buat panduan editing untuk 3 variasi foto profil yang berbeda: (1) LinkedIn — formal, background biru/abu/putih, cropping kepala hingga bahu; (2) CV — lebih ketat, background putih bersih, ekspresi sangat profesional; (3) Email signature — square crop, background warna brand. Berikan instruksi editing spesifik untuk masing-masing.";8;2026-02-21 02:59:30.027164+00
8ba04d4e-3e15-4127-8511-116a56d4fe89;Psikotes;Latihan Soal Logika Verbal (20 Soal);Buat 20 soal latihan tes logika verbal setara TIKI atau tes psikologi kerja di Indonesia. Variasikan tipe soal: analogi kata, sinonim, antonim, dan pemahaman paragraf. Sertakan kunci jawaban dan penjelasan singkat untuk setiap soal. Tingkat kesulitan: menengah ke atas.;9;2026-02-21 02:59:30.027164+00
5ea04df8-326e-4b26-b614-c2bd6815ca7e;Psikotes;Strategi Tes Pauli/Kraepelin;Jelaskan secara detail cara mengerjakan Tes Pauli (Kraepelin) dengan strategi terbaik untuk mendapat skor tinggi. Sertakan: (1) teknik ritme pengerjaan yang optimal, (2) cara menjaga konsistensi tanpa error, (3) strategi mengatur napas dan fokus, (4) tips menghadapi kelelahan di pertengahan tes, dan (5) contoh latihan yang bisa dilakukan sendiri.;10;2026-02-21 02:59:30.027164+00
